termo,frequencia
saude,15392
pacientes,5150
tratamento,4725
atencao,3765
profissionais,3367
avaliacao,3269
doenca,2846
cuidado,2813
meio,2778
estudos,2770
enfermagem,2752
processo,2739
grupo,2720
sendo,2719
serao,2675
apos,2639
uso,2537
forma,2478
maior,2459
vida,2434
tambem,2414
qualidade,2342
relacao,2334
sera,2330
brasil,2322
anos,2156
partir,2047
atraves,2042
durante,2024
doencas,1997
pessoas,1994
controle,1984
assim,1976
risco,1937
atividade,1927
fatores,1911
paciente,1892
pode,1891
acoes,1846
avaliar,1836
aumento,1798
efeito,1783
efeitos,1779
celulas,1756
diagnostico,1743
populacao,1728
deste,1708
tempo,1697
presente,1695
realizada,1629
grupos,1610
ainda,1596
periodo,1587
participantes,1587
individuos,1575
praticas,1570
bem,1567
atividades,1559
animais,1522
cancer,1516
estado,1511
hospital,1506
clinica,1462
tres,1448
social,1435
cuidados,1435
podem,1434
dois,1415
pratica,1402
servicos,1401
atendimento,1378
quanto,1374
contexto,1348
tipo,1342
teste,1341
prevencao,1328
casos,1303
covid,1290
alteracoes,1283
idade,1272
assistencia,1271
area,1263
cada,1260
revisao,1260
equipe,1260
geral,1259
reducao,1255
associacao,1247
neste,1247
disso,1243
mulheres,1212
criancas,1204
niveis,1203
enfermeiros,1201
terapia,1200
dor,1199
conhecimento,1198
florianopolis,1180
variaveis,1180
estrategias,1170
sintomas,1169
mental,1163
desta,1160
realizado,1158
dias,1149
promocao,1147
grande,1141
basica,1135
numero,1130
nivel,1107
coleta,1102
apresentaram,1102
alta,1096
seguranca,1093
educacao,1092
programa,1089
hospitalar,1087
abordagem,1080
base,1075
literatura,1066
identificar,1066
condicoes,1064
acesso,1061
informacoes,1061
presenca,1060
fisica,1049
servico,1033
analisar,1020
rede,1014
formacao,1012
unidade,1011
principais,1006
tanto,996
idosos,990
instrumento,990
necessidade,990
realizadas,982
ate,982
conteudo,975
outros,973
profissional,969
clinico,967
duas,964
primaria,963
todos,956
potencial,947
aplicacao,942
quais,938
celular,935
relacionados,933
infeccao,927
organizacao,925
realizacao,925
etapa,923
parte,922
ambiente,921
prevalencia,910
familia,908
proposta,906
sociais,905
caracteristicas,905
fim,900
segundo,895
compostos,892
medicamentos,885
intervencao,884
expressao,882
usuarios,879
perfil,878
estao,875
media,875
importante,875
possivel,863
aspectos,859
producao,852
analises,851
via,842
importancia,839
mortalidade,836
publica,831
clinicos,830
comportamento,830
modelos,826
busca,823
construcao,822
cronica,818
utilizacao,817
politicas,814
participacao,813
eou,813
outras,812
introducao,808
resistencia,808
testes,807
melhor,800
capacidade,799
associados,798
utilizados,795
tratase,793
processos,792
amostras,791
utilizando,789
nacional,789
sus,784
resposta,782
parametros,781
morte,779
metodologia,779
pandemia,778
protocolo,777
devido,775
compreender,774
clinicas,772
adolescentes,771
fase,770
tecnica,764
dessa,764
amostra,762
regiao,760
qualitativa,756
acao,753
medicina,751
principalmente,750
adultos,746
utilizado,735
administracao,733
impacto,731
estresse,726
papel,725
relacionadas,725
apresentou,724
analisados,719
problemas,717
desenvolver,713
avaliados,713
escala,711
camundongos,710
identificacao,710
mecanismos,709
comunidade,707
campo,701
quatro,701
farmacos,700
depressao,699
unidades,698
apenas,698
funcao,697
total,697
etapas,695
meses,692
primeiro,691
sido,689
realizados,689
caso,687
entrevistas,686
apoio,685
acordo,683
sul,681
evidencias,681
humanos,679
valores,678
investigar,675
sexo,669
universitario,668
realizar,667
estrategia,667
nesse,665
cirurgia,660
novos,657
frequencia,657
sob,656
equipes,655
municipio,652
indicadores,652
horas,649
obtidos,649
longo,647
obesidade,646
contribuir,645
principal,640
questionario,640
ensino,639
dentre,636
enquanto,636
desse,633
conclusao,632
exposicao,631
atuacao,628
mundo,627
bucal,627
vez,623
medidas,622
associada,617
onde,614
internacao,612
menor,610
entanto,610
diabetes,608
porem,607
reabilitacao,604
primeira,603
submetidos,602
tecnicas,601
apresenta,601
criterios,598
significativa,595
considerando,593
pais,592
lesoes,592
indice,591
tratamentos,587
centro,586
respectivamente,585
intensiva,584
diversos,584
estudantes,582
areas,582
intervencoes,581
maiores,579
maioria,578
especificos,577
lesao,576
apresentam,575
baixa,574
artigos,569
novas,569
final,568
pressao,567
referencia,566
necessidades,565
pessoa,565
diminuicao,563
planejamento,562
promover,561
validacao,559
utilizada,559
exercicio,558
pesquisas,554
unico,551
condicao,551
perspectiva,548
apesar,548
central,548
graduacao,547
percepcao,546
todas,546
destes,545
ferramenta,544
funcional,544
modo,544
transversal,542
medica,541
conjunto,541
categorias,538
consumo,538
momento,537
fator,534
sentido,534
publicas,533
odontologia,533
implementacao,532
desempenho,531
comparacao,530
acompanhamento,530
vem,529
visando,528
corporal,528
hiv,528
recursos,526
estatistica,526
tecnologia,525
situacao,525
arterial,525
esperase,523
peso,522
eventos,521
etica,521
envolvidos,521
investigacao,521
parto,519
alguns,518
emergencia,515
familiares,514
desenvolvido,513
vitro,511
menos,509
municipios,508
ambos,507
frente,507
antes,505
marcadores,504
ter,501
medicos,498
comunicacao,496
possiveis,496
mgkg,496
influencia,495
cultura,494
vezes,494
diversas,493
desses,492
segunda,491
interacao,491
relacoes,490
entretanto,489
tais,487
publico,485
composto,485
dia,484
local,484
concentracoes,483
enfermeiro,481
diferenca,480
informacao,479
tecnologias,478
ansiedade,477
capaz,475
tendo,474
verificar,472
cinco,472
desde,471
coletados,469
superior,469
entrevista,467
diferencas,467
sepse,466
software,465
fisico,465
avaliada,464
mudancas,463
infeccoes,463
comportamentais,462
atuam,462
drogas,460
contra,459
procedimentos,459
suporte,457
problema,457
descritiva,457
acerca,456
ocorreu,455
compreensao,454
maneira,453
brasileira,453
politica,452
questoes,452
estrutura,452
farmaco,452
associado,450
taxa,448
portanto,448
nesta,447
instrumentos,446
tematica,445
concentracao,445
discussao,443
pois,440
incluindo,440
utilizadas,439
incidencia,438
conforme,437
conhecimentos,437
serem,437
outro,436
diretrizes,436
conhecer,433
perda,432
padrao,432
pele,432
alto,432
medio,432
cronicas,431
grau,431
and,431
elaboracao,430
experiencia,430
diante,429
classificacao,429
humano,429
melhoria,427
demais,425
proteinas,423
mundial,423
desfechos,422
ensaio,422
tecido,420
formas,419
receptores,419
eficacia,418
semanas,418
relacionada,416
regressao,416
continuidade,416
cenario,413
melhorar,413
dessas,412
acido,412
versao,412
todo,411
aguda,410
ocorrencia,409
oral,407
trabalhadores,407
forca,407
carga,406
sistematica,406
ratos,403
propriedades,403
associadas,402
tema,401
caracterizacao,401
seis,401
hospitais,400
comite,400
agentes,400
melhora,400
gestores,400
complicacoes,399
ambito,398
manuscrito,397
sangue,397
inicio,396
mama,396
importantes,396
muscular,394
mostraram,394
genes,394
adesao,394
treinamento,394
participaram,392
liberacao,392
baixo,392
correlacao,390
sociedade,389
virus,389
integracao,389
instituicoes,389
desafios,388
material,387
familias,387
fundamental,386
adversos,386
monitoramento,384
redes,384
professores,384
falta,382
tese,382
sindrome,382
terapeutica,380
grave,380
manejo,378
regioes,377
situacoes,377
especialmente,377
paises,376
instituicao,376
protecao,375
deficiencia,375
manutencao,374
bases,374
ensaios,374
auxiliar,374
produtos,374
inclusao,372
dificuldades,369
possam,369
tratados,368
visa,367
aps,367
the,366
gestantes,365
sensibilidade,365
massa,364
teoria,364
fluxo,364
materiais,363
implantacao,361
crescimento,361
seguintes,361
necessario,361
dentro,360
infantil,360
possui,360
apresentados,360
quantitativa,359
ativacao,359
significativamente,359
protocolos,359
proteina,359
induzida,358
alvo,357
integrativa,356
produto,355
comportamentos,355
causa,354
humana,354
riscos,354
selecionados,354
dieta,352
cientifica,351
embora,351
incluidos,350
contendo,349
teorico,349
junto,348
ministerio,348
sono,347
inflamacao,346
respostas,345
familiar,344
nutricional,343
pulmonar,343
tipos,343
mostrou,343
ferramentas,342
isolados,341
duracao,341
complexidade,341
apresentar,341
foco,339
atualmente,338
precoce,337
integral,337
alcool,337
procedimento,336
temas,335
sinais,335
dose,334
insulina,334
observado,333
algumas,333
observouse,332
neonatal,332
vivo,331
considerado,330
municipal,329
reduzir,328
uti,327
programas,327
possuem,326
centros,326
especies,326
renal,325
avaliado,325
sintese,325
plantas,324
desenvolvidas,324
experiencias,323
ciclo,323
valor,322
orgaos,322
novo,321
exames,321
disfuncao,321
sujeitos,320
interesse,320
online,320
considerada,320
demonstraram,319
psicossocial,319
causas,319
experimental,316
transtornos,316
medida,315
nucleo,315
criacao,315
sugerem,314
memoria,313
medico,313
terapeutico,313
significativas,313
minicurso,312
taxas,312
danos,311
brasileiro,310
terapeuticas,310
laboratorio,310
vigilancia,310
prenatal,310
achados,308
mellitus,307
huufsc,307
alteracao,307
pouco,307
homens,307
descritivo,306
encontrados,305
decisao,305
global,305
analisadas,304
deteccao,303
minutos,303
cardiaca,302
devem,301
validade,301
registro,301
realidade,300
atendimentos,299
tal,299
ocorre,299
ultimos,298
itens,298
elementos,298
tamanho,298
locais,297
historia,297
proposto,296
mecanismo,296
presentes,296
internados,295
portadores,295
sofrimento,295
capacitacao,295
relevancia,294
pontos,294
vista,294
espaco,293
componentes,293
composta,293
cirurgico,293
disponiveis,292
mulher,292
deve,292
oxidativo,291
reconhecimento,290
saudaveis,290
corpo,289
atendidos,289
destas,289
observada,288
ausencia,288
inicial,288
exame,288
considerados,288
mudanca,287
comum,287
crianca,287
tecidos,287
mecanica,285
academicos,285
descrever,285
conceitos,285
setor,284
distribuicao,284
recomendacoes,284
coletiva,284
significancia,283
beneficios,283
parkinson,282
viabilidade,282
observacao,282
terceiro,282
cerca,282
intestinal,282
ambulatorio,282
contato,282
vias,281
transmissao,280
respeito,279
diretamente,279
enfrentamento,278
acolhimento,278
demanda,277
comprometimento,277
gene,277
brasileiros,277
cursos,277
fases,276
concluise,276
seres,276
inibicao,275
seguida,275
melhores,275
farmaceutica,274
marco,274
referencial,274
hospitalares,274
aumentar,273
dimensoes,273
baseado,272
evolucao,272
membros,272
prazo,272
intensidade,272
demandas,270
capazes,270
desfecho,270
determinar,270
especialistas,270
comparado,269
encontradas,269
muitas,269
vascular,269
composicao,269
nova,269
idoso,268
permanente,268
recuperacao,268
substancias,268
aumentou,267
execucao,267
prognostico,267
cientificos,266
violencia,265
