nm_docente;chave;foto
EDVIGES MARTA IORIS;K4721644D5;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4721644D5
ELANE SCHWINDEN PRUDENCIO;K4721661A9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4721661A9
ELENARA MARIA TEIXEIRA LEMOS SENNA;K4728272J9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4728272J9
ELENA RIET CORREA RIVERO;K4707587Y9;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4707587Y9
ELENOR KUNZ;K4797738J4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4797738J4
ELEONORA DORSI;;
ELIANA DE SOUZA AVILA;K4708459T2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4708459T2
ELIANA ELISABETH DIEHL;K4785653J4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4785653J4
ELIANA MARIA DOS SANTOS BAHIA JACINTHO;K4164309Z8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4164309Z8
ELIANE MATOS;K4756170A8;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4756170A8
ELIANE POZZEBON;K4770153P7;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4770153P7
ELIAS MACHADO GONCALVES;K4723592Z4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4723592Z4
ELIEZER BATISTA;K4790532H2;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4790532H2
ELISABETH WAZLAWIK;K4760076H6;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4760076H6
ELISANDRO RICARDO DOS SANTOS;K4751697H4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4751697H4
ELISANDRO RICARDO DRECHSLER DOS SANTOS;K4751697H4;https://servicosweb.cnpq.br/wspessoa/servletrecuperafoto?tipo=1&id=K4751697H4
