termo,frequencia
ensino,10122
educacao,9902
formacao,5302
professores,4688
estudantes,3494
processo,3253
aprendizagem,3157
partir,2986
conhecimento,2949
escola,2706
meio,2657
praticas,2454
lingua,2442
atividades,2441
forma,2328
tambem,2291
estudos,2220
escolar,2196
contexto,2171
avaliacao,2133
relacao,2119
pratica,2056
cursos,2002
campo,1889
escolas,1701
fisica,1675
producao,1672
assim,1672
area,1635
presente,1622
brasil,1621
uso,1620
social,1618
anos,1614
criancas,1597
acoes,1595
profissional,1558
ciencias,1483
proposta,1482
matematica,1480
superior,1459
programa,1434
processos,1433
base,1425
grupo,1410
medio,1407
atraves,1390
relacoes,1360
construcao,1358
abordagem,1356
fundamental,1341
perspectiva,1322
sendo,1321
geral,1316
bem,1288
sociais,1271
basica,1254
historia,1247
analisar,1243
docentes,1218
participantes,1209
graduacao,1196
cada,1195
politicas,1159
serao,1159
infantil,1158
aspectos,1151
deste,1145
quanto,1144
cultura,1143
leitura,1143
instituicoes,1141
comunidade,1140
quais,1138
outros,1133
ainda,1131
profissionais,1127
rede,1117
compreender,1107
educacional,1104
pode,1103
conhecimentos,1102
tanto,1096
metodologia,1083
desempenho,1081
desta,1071
parte,1062
sera,1062
conteudo,1055
tres,1031
pesquisas,1028
publicas,1019
projetos,1017
linguagem,1013
compreensao,1005
identificar,997
literatura,994
vida,986
aplicacao,981
recursos,979
aula,964
modo,963
tempo,954
educacionais,952
entrevistas,951
florianopolis,948
fim,933
estrategias,930
aulas,926
publica,925
participacao,923
outras,913
organizacao,902
documentos,902
nacional,900
nivel,893
materiais,891
experiencias,890
pedagogica,890
conceitos,880
durante,879
ciencia,878
dois,877
maior,874
contribuir,871
questoes,870
investigacao,862
elementos,861
nesse,857
podem,856
ambiente,853
caso,852
neste,851
espaco,847
conteudos,846
atividade,844
experiencia,843
curricular,843
teoria,839
estado,834
qualitativa,834
sociedade,833
dessa,827
natureza,826
tecnologias,823
pedagogicas,822
sentido,802
qualidade,801
necessidade,800
informacoes,799
disso,796
duas,791
importancia,784
possivel,782
busca,777
disciplinas,767
academica,766
escolares,764
elaboracao,763
sujeitos,762
realizada,760
cientifica,758
desenvolver,756
escrita,750
grupos,748
estao,747
pessoas,743
saude,742
espacos,738
periodo,737
comunicacao,735
principais,734
informacao,733
posgraduacao,732
brasileira,726
realizacao,725
areas,724
sala,717
realizadas,715
politica,714
desse,714
investigar,700
promover,699
criacao,698
infancia,696
atuacao,693
realidade,693
especificos,690
pedagogico,689
competencias,684
tese,682
critica,678
didaticos,674
curriculares,673
instituicao,673
tema,671
tais,669
possibilidades,667
curriculo,662
acesso,661
tecnologia,661
caracteristicas,658
papel,657
longo,657
questionario,654
tematica,653
problemas,652
ambito,651
textos,647
desses,646
enfermagem,645
coleta,642
acerca,642
grande,640
jogos,635
acao,633
todos,633
sinais,630
teorico,622
documental,619
programas,618
considerando,613
material,608
portuguesa,607
contextos,607
digitais,607
continuada,606
segundo,605
municipal,604
fatores,600
desafios,599
saberes,598
revisao,597
temas,594
propostas,593
enquanto,592
principal,591
condicoes,589
jovens,588
libras,587
sob,587
especial,586
inicial,584
habilidades,581
planejamento,580
tendo,577
categorias,572
foco,572
trabalhos,571
vez,570
pais,565
quimica,565
linguistica,560
implementacao,560
dentro,559
mundo,559
etapa,554
desde,554
reflexao,554
universidades,554
formas,552
aprendizado,552
utilizacao,551
interacao,549
publico,548
integracao,546
contribuicoes,545
pois,544
conjunto,542
estagio,538
visa,538
modelos,536
deficiencia,533
quatro,533
linguas,532
novas,529
traducao,528
conceito,525
alguns,524
docencia,523
principalmente,522
relacionados,522
analises,519
respeito,519
apos,518
cultural,518
onde,514
movimento,512
didatica,511
primeiro,510
distancia,510
psicologia,509
procedimentos,508
apoio,508
oficinas,504
pedagogia,504
surdos,502
concepcao,500
relacionadas,499
arte,498
tecnicas,494
discurso,494
objeto,493
tal,493
ate,492
importante,491
questao,491
carater,488
eou,487
avaliar,486
tecnica,484
discussao,483
livros,482
ensinoaprendizagem,482
apresenta,479
diversas,478
estudante,476
equipe,474
diversos,473
instrumento,473
final,472
utilizados,471
primeira,470
dificuldades,470
analisados,469
desenvolvido,467
percepcao,467
realizado,466
academico,466
modalidade,465
estrutura,465
realizar,465
academicos,463
nesta,462
concepcoes,460
corpo,457
design,456
discussoes,456
ingles,454
mudancas,454
inclusao,453
aplicada,452
reflexoes,448
novos,448
vista,447
apenas,445
sul,444
junto,444
idade,444
acordo,443
portanto,442
licenciatura,441
diante,440
dissertacao,440
cientifico,440
dessas,439
ferramenta,439
teoricos,438
maneira,438
visando,438
redes,438
vem,437
intervencao,436
engenharia,435
universitaria,434
etapas,433
outro,431
pesquisadores,431
teorica,430
pensamento,429
algumas,429
didatico,426
melhor,425
tipo,425
situacoes,424
observacao,424
fazer,423
serem,422
digital,421
principios,420
desenvolvidas,419
professoras,418
interesse,418
regiao,416
segunda,415
pedagogicos,414
perfil,412
crianca,412
bibliografica,408
dialogo,408
laboratorio,407
instrumentos,407
metodologias,407
especialmente,405
institucional,404
diretrizes,402
jogo,401
ferramentas,401
niveis,401
constituicao,400
insercao,399
dimensoes,399
gestores,399
levantamento,397
historico,396
culturais,396
ter,396
autores,394
tratase,394
portugues,393
texto,392
momento,388
online,387
indicadores,385
sujeito,383
envolvidos,383
necessidades,383
encontros,382
evasao,380
questionarios,380
seguintes,378
memoria,378
brasileiro,377
utilizando,376
presentes,373
adultos,373
cenario,373
humana,371
pandemia,369
interpretacao,367
iniciais,366
fontes,366
promocao,366
estrategia,362
divulgacao,362
possibilidade,362
dentre,361
alfabetizacao,361
problema,359
identidade,359
filosofia,358
teste,357
todas,356
eventos,355
saber,355
variaveis,354
entanto,352
narrativas,352
esperase,351
