termo,frequencia
capacitacao,350
biologia,349
pcc,348
cinco,347
artigos,347
municipio,346
genero,345
nacionais,344
funcao,343
atencao,341
sido,340
possam,340
propor,340
atual,339
desenvolvida,336
carreira,335
referencial,335
livro,334
conhecer,334
influencia,334
pensar,334
realizados,332
semestre,331
efeitos,331
controle,331
nucleo,330
proposto,329
visao,329
cotidiano,329
aprender,329
falta,328
direitos,328
demandas,328
cientificos,328
escala,328
dimensao,327
virtual,326
geografia,325
tarefas,325
central,324
propoe,323
necessario,322
sentidos,322
especificamente,322
numero,322
maioria,321
federais,320
inicio,320
utilizado,320
nessa,319
metodologicos,319
novo,318
lugar,318
ponto,318
campus,317
possiveis,315
centro,315
permanencia,314
identificacao,314
discentes,312
estadual,312
entrevista,311
brasileiras,310
ambiental,310
departamento,309
atuam,308
humano,307
professora,306
perspectivas,306
discursos,305
intuito,304
indigenas,304
referencia,304
tecnologica,303
abordagens,302
classe,302
iii,302
testes,302
comportamento,301
articulacao,301
populacao,300
capital,298
colegio,298
lei,298
termos,297
demais,297
potencial,297
plano,297
propria,297
suporte,296
descritiva,296
todo,295
ambientes,295
olhar,294
presenca,294
atendimento,292
utilizadas,291
autonomia,291
criterios,289
organizacional,289
orientacao,288
educativas,287
ensinar,286
fase,284
nova,284
capacidade,283
buscando,283
medida,283
teoricas,282
humanos,282
bases,282
exemplo,281
valores,281
verificar,280
ampliacao,279
apresentar,279
faz,278
competencia,278
adolescentes,278
responder,278
discutir,277
momentos,277
unidades,277
continuidade,276
produzidos,275
semiestruturadas,275
entendimento,275
sequencia,275
administracao,275
exercicio,274
instituto,273
indigena,273
egressos,272
vezes,272
universitarios,272
selecao,272
treinamento,272
permite,271
letras,271
textual,271
coletados,270
obtidos,269
contribuicao,269
comum,269
mercado,269
fundamentos,269
deve,268
tecnicos,268
muitas,268
ampliar,268
respostas,267
servico,267
auxiliar,266
porem,266
conforme,264
educativos,264
educadores,264
situacao,264
letramento,264
construir,263
introducao,262
destes,261
organizacoes,261
mestrado,261
diversidade,260
devido,260
conceitual,260
permanente,260
criar,259
etica,259
seguinte,259
producoes,258
impacto,258
menos,258
implicacoes,258
teorias,257
encontro,255
imagens,255
registros,255
trajetoria,254
local,254
presencial,254
consciencia,254
contato,253
conta,253
plataforma,253
apesar,252
refletir,252
embora,251
ies,251
aplicado,251
possui,250
futuros,249
importantes,249
melhoria,248
voltadas,248
apresentacao,247
dar,246
mulheres,246
relevancia,246
academicas,246
reconhecimento,245
conclusao,245
sobretudo,245
tempos,245
oferecer,245
envolvendo,244
desenvolvidos,244
utilizada,244
educativo,244
movimentos,244
acompanhamento,243
institucionais,243
resolucao,243
individuos,243
objetiva,242
ead,242
especifico,241
diferencas,241
escolarizacao,241
comunidades,241
significativa,241
finais,240
pressupostos,240
interacoes,240
apresentam,239
apropriacao,238
mediacao,237
metodologica,236
apontam,235
fenomeno,235
planos,235
possa,235
luz,234
debate,234
metodologico,234
entender,234
internacionalizacao,234
apresentados,234
mudanca,233
poder,233
internacionais,232
funcoes,231
seis,231
aquisicao,231
ciclo,231
midias,231
torno,230
devem,230
lado,230
sociologia,230
pouco,230
servidores,230
fato,229
pretendese,229
orientacoes,229
oferta,228
brasileiros,228
execucao,228
critico,228
proporcionar,228
cidade,228
estabelecer,228
tecnico,227
especialistas,226
obra,225
campos,224
enfase,224
tipos,223
escolha,223
covid,223
participaram,223
oral,221
sistematica,221
efeito,221
modos,221
parceria,221
basico,220
associacao,220
eja,220
estudantil,219
evidencias,219
turma,219
participante,218
catarinense,218
mesma,218
dinamica,218
comportamentos,217
servicos,217
horas,217
representacao,217
aqui,217
transformacao,217
atender,217
muitos,216
pretende,216
visual,216
universitario,216
relevantes,216
unidade,215
coletivo,214
refere,214
vistas,214
itens,214
inclusiva,213
estudar,213
integral,213
tarefa,213
arquitetura,212
obras,212
pessoal,212
pontos,212
objetos,211
direito,211
manutencao,210
historica,210
contribuindo,210
percepcoes,210
ideias,210
casos,209
exploratoria,209
expansao,209
referentes,208
oficiais,208
videos,208
familias,207
fases,207
frente,207
debates,207
representacoes,207
possuem,206
atualmente,206
turmas,206
outra,206
aprimoramento,205
historias,205
existentes,205
motivacao,205
the,205
seculo,205
internacional,204
politico,204
baseada,204
componentes,203
curriculos,203
categoria,202
parametros,202
aumento,201
artes,201
bilingue,201
bncc,201
consiste,201
componente,201
palestras,201
avaliacoes,200
proposito,200
publicacao,200
associados,199
acessibilidade,199
dissertacoes,197
expressao,197
coordenacao,196
aprofundamento,196
mediante,196
propostos,196
iniciacao,195
contribui,195
demanda,195
revista,194
ocorre,194
finalidade,193
envolve,193
didaticas,193
participar,193
socializacao,193
teses,193
tratamento,192
quantitativa,192
indicam,192
percurso,192
condicao,191
analisadas,191
transformacoes,191
publicacoes,191
existencia,190
diz,190
tematicas,190
agentes,190
dificuldade,189
limites,189
incluindo,189
ideia,189
educativa,188
interdisciplinar,188
narrativa,188
fundamentais,188
logica,188
experimentacao,187
envolvem,187
formal,186
intelectual,186
aproximacao,186
capes,186
vivencias,186
media,186
generos,185
caminho,185
atuais,185
constitui,185
individual,184
and,184
total,184
ultimos,184
antes,184
proposicao,184
individuais,183
composto,183
geracao,183
implantacao,183
potencialidades,183
disponiveis,183
especificas,183
entretanto,182
proprio,182
amostra,182
qualificacao,182
qualitativo,181
oportunidade,181
processamento,181
ambos,181
presenciais,181
membros,181
estrangeira,181
fazem,181
aplicados,181
mesmos,180
definicao,180
paulo,180
framework,180
formativos,180
serie,180
externa,179
gerais,179
posteriormente,179
aperfeicoamento,179
surda,179
desafio,178
aprofundar,178
buscar,177
palavras,177
reforma,177
baseado,177
etc,177
significativas,176
modelagem,176
profissao,176
visto,176
formativo,175
responsavel,175
software,175
tradicional,175
publicos,175
locais,174
somente,174
paises,174
elaborar,174
estetica,174
financeira,174
intervencoes,174
decada,173
usuarios,173
alcancar,173
buscou,173
medicina,173
cujo,172
mapeamento,172
complexidade,172
coletiva,172
oportunidades,172
terceira,171
selecionados,171
consolidacao,171
engajamento,171
produzir,171
via,171
estatistica,171
diretamente,171
legislacao,171
cinema,170
referenciais,170
linguagens,170
apresentadas,170
trabalhadores,169
crencas,169
registro,169
melhorar,169
estruturas,169
origem,169
discente,169
coordenadores,169
municipais,169
supervisionado,169
impactos,168
meios,168
linha,168
biologicas,168
medidas,168
biblioteca,168
validacao,168
diferenca,166
freire,166
metodologicas,166
compartilhamento,166
corpus,166
topicos,165
utilizouse,165
recurso,164
futuro,164
rio,164
linguisticas,163
familia,163
historicocultural,163
interesses,163
familiar,162
evento,162
valorizacao,162
concluise,162
cidadania,162
odontologia,161
semana,161
constituem,161
cientificas,161
estagios,161
professoresas,161
destaque,161
experimental,160
virtuais,160
contudo,160
resposta,159
limitacoes,159
inicialmente,159
atingir,159
decisao,159
mostraram,159
atores,159
periodicos,159
oficina,159
proficiencia,159
entao,159
equipes,159
alimentacao,158
discursiva,158
destas,158
esperados,158
evolucao,158
possibilitar,158
trata,158
funcionamento,158
programacao,158
grau,157
tomada,157
buscamos,157
esfera,157
memorias,157
ocorreu,157
enfoque,157
desenho,156
dominio,156
validar,156
simulacao,155
estimular,155
feita,155
governo,155
direcao,155
espanhol,154
reais,154
experimentais,154
varios,154
edicao,154
perguntas,153
organizar,153
caracterizar,153
trajetorias,153
necessarias,152
compoem,152
especificidades,152
constante,152
formato,152
considerados,152
garantir,152
real,152
lideranca,152
capaz,152
referencias,152
tecnologico,152
visuais,152
comparacao,151
interpretes,151
bakhtin,151
sistematizacao,151
trabalhar,151
vivencia,150
relevante,150
empresas,150
fala,150
dias,150
doutorado,150
escritos,150
seguida,149
utiliza,149
necessarios,149
responsaveis,149
observacoes,149
estados,149
secretaria,149
caminhos,148
dia,148
carga,148
sempre,148
eixos,148
solucoes,148
diagnostico,147
entrevistados,147
contribuem,147
particular,147
sete,147
possibilita,147
duracao,147
fortalecimento,146
principio,146
valor,146
encontrados,145
modalidades,145
sucesso,145
adaptacao,144
poderao,144
iniciativas,144
grandes,144
etnicoraciais,144
luta,144
bibliografico,144
alternativas,144
nocoes,143
perceber,143
semiestruturada,143
literaria,143
atitudes,143
voltada,143
ativa,142
identificadas,142
cuidado,142
laboratorios,142
decisoes,142
inglesa,142
consequentemente,142
terceiro,141
efetiva,141
linguistico,141
baixa,141
territorio,141
aprendizes,141
quadro,141
economia,141
historicos,140
relatorios,140
qualquer,140
decadas,140
forca,140
bolsistas,140
contemporanea,140
realizouse,140
regional,139
mecanismos,139
esporte,139
vocabulario,139
humanas,139
reproducao,138
cunho,138
ato,138
voltados,138
meses,138
barreiras,138
formadores,137
reunioes,137
auxilio,137
individuo,137
promovendo,137
learning,136
preparacao,136
aplicadas,136
ministerio,136
publicados,136
versao,136
significados,136
global,136
validade,135
alvo,135
anatomia,135
identificados,135
toda,135
fonte,134
varias,134
apresentaram,134
alto,134
capitulo,134
menor,134
utilizar,134
mostram,133
essencial,133
classes,133
enfermeiros,133
ultimo,133
composta,133
elaborado,133
distintas,133
anteriores,132
distintos,132
permitiu,132
avanco,132
municipios,132
atualizacao,132
eixo,132
ativas,132
diario,131
setor,131
assistencia,131
tradicionais,131
fisico,131
cooperacao,130
melhores,130
sexo,130
nocao,130
descricao,130
avancos,130
fornecer,130
marco,130
frequencia,130
classificacao,129
aporte,129
salas,129
apresentado,129
florianopolissc,129
vinculados,129
politicos,129
apresentou,128
padrao,128
posicao,128
buscam,128
intencao,128
nucleos,128
internet,127
pessoa,127
leituras,127
acolhimento,127
relacionada,127
circulacao,126
criatividade,126
dialogos,126
treinadores,126
oito,125
prova,125
primeiros,125
favorecer,125
problematica,125
universo,125
video,125
sintese,125
pares,125
nesses,124
alta,124
existe,124
violencia,124
blumenau,124
maiores,124
colaboracao,124
aspecto,124
ausencia,123
aprimorar,123
consideracao,123
traz,123
proprias,123
aberto,123
cognitiva,123
silva,123
tornar,123
reducao,123
experimentos,122
fundamentacao,122
alteracoes,122
ifsc,122
permitindo,122
descrever,121
consideradas,121
liberdade,121
exposicao,121
banco,121
fomentar,121
aplicacoes,121
atuar,121
web,121
elemento,121
familiares,121
direta,121
ler,121
cognitivo,121
destacase,121
voltado,121
necessaria,121
formativas,120
ampla,120
indice,120
criticas,120
investigacoes,120
conceituais,120
contemporaneas,120
infraestrutura,120
capazes,119
melhorias,119
fundamentada,119
observar,119
considerar,119
trazer,119
ambientais,119
pesquisadora,119
envolvimento,119
filmes,119
licenciandos,119
produtos,119
dispositivos,119
observouse,119
tange,118
preocupacao,118
vigotski,118
encontradas,118
acervo,118
pesquisaacao,118
padroes,118
composicao,118
fenomenos,118
divulgar,117
obmep,117
dez,117
dialogica,117
variacao,117
possibilitando,117
cognitivos,117
bibliotecas,117
interna,117
resistencia,117
usos,117
hipotese,117
tecnologicos,116
plataformas,116
especifica,116
gerar,116
caracterizacao,116
universitarias,116
evidencia,116
buscase,116
ingresso,116
performance,116
superacao,116
falantes,116
geometria,116
tendencias,115
pessoais,115
vies,115
referente,115
fortalecer,115
responsabilidade,115
buscouse,115
possibilitou,115
considerado,115
porque,114
basicas,114
ambas,114
produto,114
formar,114
remoto,114
moodle,114
permitem,114
criado,114
multiplas,113
desigualdades,113
complementar,113
contradicoes,113
enfrentamento,113
hoje,113
corporal,113
jornalismo,113
recorte,112
produzido,112
influenciam,112
complexo,112
livre,112
institutos,112
satisfacao,112
incluem,112
solucao,112
midia,111
coordenador,111
pergunta,111
identidades,111
aponta,111
subsidios,111
verificouse,111
trabalhadora,111
precisam,111
bardin,111
fazendo,110
regioes,110
eficiencia,110
autor,110
escolhas,109
integrado,109
supervisao,109
item,109
obter,109
culturas,109
relatorio,109
significativo,109
escopo,109
imagem,109
difusao,109
matriz,108
elaborados,108
tradicao,108
musica,108
mapear,108
proprios,108
inclusive,108
seminarios,108
coletivos,108
nessas,108
troca,108
procedimento,108
danca,108
recomendacoes,108
seguranca,108
relatos,108
expressoes,107
aumentar,107
significado,107
feito,107
beneficios,107
assunto,107
espanhola,107
cuja,107
defesa,107
jose,107
simples,107
sugerem,106
historicamente,106
colaborativa,106
alternativa,106
evidenciar,106
criticos,106
licenciaturas,106
risco,105
construidos,105
continua,105
orais,105
mesmas,105
provas,105
regras,105
praxis,105
precisa,105
existem,105
crescimento,105
assuntos,105
ordem,105
autoria,104
afirmativas,104
articular,104
circulo,104
qualitativos,104
interessados,104
disseminacao,104
utilizam,104
proposicoes,104
tradutores,104
site,104
baseadas,104
formais,104
tornase,104
leitores,104
problematizar,104
regular,104
estruturacao,104
teatro,103
sensu,103
correlacao,103
baixo,103
dado,103
podese,103
afrobrasileira,103
especiais,103
sessoes,103
constatouse,103
partindo,103
complementares,103
quantitativos,103
pacientes,103
essenciais,103
exercicios,103
adequada,102
levando,102
construido,102
desdobramentos,102
amplo,102
fator,102
respectivamente,102
metas,102
manuais,102
juntamente,102
decorrer,102
efetivacao,102
basicos,102
gerenciamento,101
linguisticos,101
adequado,101
atualidade,101
descritivo,101
analisamos,101
reconhecer,101
estaduais,101
ultima,101
antropologia,101
algum,101
liga,101
reflexivo,101
apresentase,100
gerados,100
futuras,100
estrategico,100
estabelecidas,100
particularmente,100
nome,100
pratico,100
guia,100
mundial,100
audiovisuais,99
matriculados,99
manter,99
explorar,99
formacoes,99
podera,99
verbal,99
avaliados,99
audiovisual,99
tera,99
repertorio,99
considera,99
fins,99
abordados,99
contemporaneos,99
especializacao,98
compreensoes,98
pronuncia,98
indices,98
abordar,98
abertas,98
envolvidas,98
produzidas,98
surdo,98
leitor,98
ouvintes,98
lacunas,98
vinculado,98
considerada,98
escolaridade,98
animais,98
apresentada,98
aprendizagens,98
caracteriza,97
robotica,97
caracterizase,97
relacionado,97
materialismo,97
estabelecimento,97
constituido,97
teoricometodologicos,97
demonstram,97
empirica,97
aborda,96
propoese,96
aberta,96
mostrou,96
parece,96
formulacao,96
temse,96
entidades,96
visibilidade,96
apontaram,96
dizer,96
investiga,96
focal,96
alcance,96
boa,95
clinica,95
orientar,95
maquina,95
povos,95
criativa,95
reflexiva,95
crise,95
panorama,95
crescente,95
privadas,95
unico,95
empirico,95
deu,95
eficacia,95
construidas,95
contemporaneo,95
desenvolve,95
racismo,94
transferencia,94
feedback,94
contextualizacao,94
moral,94
pertencentes,94
leis,94
configuracao,94
casa,94
metodologicamente,94
artigo,94
incentivar,94
visam,94
razao,94
exploracao,93
pressuposto,93
intitulado,93
relativos,93
normas,93
lidar,93
semantica,93
demonstraram,93
horaria,93
passa,93
protagonismo,93
consideracoes,93
surge,93
ararangua,92
integrar,92
feitas,92
visualizacao,92
bilingues,92
obstaculos,92
capitalista,92
computacao,92
mostra,92
universal,92
escrito,92
apoiar,92
teoricometodologico,92
intercultural,92
adocao,91
orgaos,91
passaram,91
paradigma,91
encontram,91
acompanhar,91
visitas,91
pesquisador,91
conflitos,91
vinculada,91
levar,91
relativas,91
matematicos,91
economico,91
cognitivas,91
dosas,91
pesquisar,91
parcerias,91
denominado,91
revistas,91
efetividade,91
encontrar,91
atletas,91
ultimas,91
voz,91
superiores,90
terra,90
estruturado,90
nove,90
roteiro,90
estrangeiras,90
expectativas,90
utilizamos,90
atuantes,90
acontece,90
enem,89
propomos,89
popular,89
sentencas,89
identificouse,89
passou,89
relacionar,89
exploratorio,89
potencializar,89
cartografia,89
raciocinio,89
fisicos,89
coletivas,88
quantidade,88
historicas,88
fluxo,88
guarani,88
naturais,88
considerase,88
reformas,88
negras,88
empresa,88
organizado,88
positiva,88
subsidiar,88
planejar,88
series,88
ensaios,88
formativa,88
facilitar,87
aplicar,87
maturidade,87
colegas,87
exame,87
convidados,87
adequacao,87
eticos,87
privada,87
motivos,87
geografica,87
praticos,87
sexualidade,87
analisado,86
distribuicao,86
autoavaliacao,86
passado,86
fisicas,86
integrada,86
empreendedorismo,86
pretendemos,86
propiciar,86
lutas,86
modulo,86
termo,86
analisa,86
gramatica,86
aplicativo,86
consequencia,86
consequencias,85
maria,85
adotada,85
complexos,85
exclusao,85
midiaeducacao,85
provenientes,85
vai,85
poucos,85
literario,85
linear,85
economica,85
transmissao,85
prazo,85
aplicativos,85
compromisso,85
legais,85
regressao,85
comite,85
associada,85
transversal,85
vulnerabilidade,84
urbanismo,84
numeros,84
resumo,84
natural,84
organizacionais,84
futebol,84
catarinenses,84
rural,84
financeiro,84
iniciativa,84
leitora,84
envolveu,84
concluimos,84
permitiram,84
jornada,84
compreende,84
alguma,84
decorrentes,84
sugestoes,83
referido,83
requisitos,83
parana,83
temporal,83
interior,83
interface,83
osas,83
problematizacao,83
obtencao,83
tendencia,82
portal,82
africana,82
democratica,82
eficaz,82
dada,82
pouca,82
preciso,82
despertar,82
respectivos,82
civil,82
palavra,81
dinamicas,81
equacoes,81
indica,81
existente,81
bastante,81
cidadaos,81
publicoalvo,81
organizada,81
escuta,81
disponibilizados,81
pautada,81
multiplos,81
regionais,81
selecionadas,81
conselho,81
compor,81
promove,81
educandos,80
verificacao,80
documentacao,80
incentivo,80
imaginacao,80
podemos,80
youtube,80
apresentacoes,80
indicaram,80
moderna,80
contra,80
epistemologia,80
conscientizacao,80
habilidade,80
epistemologica,80
organizados,80
recentes,80
frances,80
destacando,80
participam,79
propriedades,79
pet,79
setores,79
integrantes,79
procura,79
fundo,79
vivenciadas,79
apresentando,79
sistematizar,79
desenvolvem,79
pecas,79
protocolo,79
google,79
dando,78
construida,78
primeiras,78
cts,78
jornal,78
aritmetica,78
permitam,78
associacoes,78
usados,78
comprometimento,78
questionamentos,78
analisando,78
tratar,78
softwares,78
cognicao,78
graduandos,78
usabilidade,78
ocorrem,78
bemestar,78
definir,78
tdic,78
surdas,78
tecnologicas,77
transicao,77
stricto,77
analitico,77
eficiente,77
submetidos,77
ciclos,77
financiamento,77
demonstrou,77
meninas,77
certa,77
incorporacao,76
competicoes,76
primeiramente,76
instrucional,76
dezembro,76
integrando,76
intelectuais,76
definidos,76
cotidiana,76
inserido,76
ademais,76
usada,76
consistiu,76
emocional,76
comportamentais,76
faixa,76
tic,76
prototipo,76
eletronicos,76
otica,76
predominantemente,76
algoritmos,75
conexao,75
seguindo,75
realizamos,75
sexual,75
interlocucao,75
lacuna,75
oferece,75
matrizes,75
aportes,75
seminario,75
alemao,75
positivos,75
epoca,75
instrucao,75
aproximacoes,75
falas,75
ligadas,75
boas,75
representa,75
amplamente,74
socioeconomico,74
postura,74
evidenciou,74
prevencao,74
aproximadamente,74
desenvolvendo,74
finalmente,74
avaliado,74
sociocultural,74
partes,74
alimentos,74
determinantes,74
vestibular,74
bacharelado,74
atribuicoes,74
oferecidos,74
ampliando,74
investigados,74
repositorio,74
usando,74
destaca,74
estruturais,74
remota,74
torna,74
moveis,74
xxi,73
tela,73
positivo,73
vozes,73
tentativa,73
colaborar,73
unica,73
achados,73
conclusoes,73
identificamos,73
agir,73
interdisciplinaridade,73
lucena,73
manual,73
francesa,73
professorases,73
mobilidade,72
garantia,72
preparar,72
constituir,72
estudados,72
implementar,72
mobilizacao,72
abertura,72
emergencia,72
associadas,72
filhos,72
comissao,72
minicursos,72
requer,72
especificidade,72
adotados,72
exterior,72
sequencias,72
preve,72
revelam,72
proporcionando,71
comuns,71
estimulo,71
autoeficacia,71
cerca,71
obtidas,71
capoeira,71
superar,71
complexa,71
interpretar,71
pic,71
linhas,71
usuario,71
bolsa,71
integra,71
populacoes,71
bebes,71
logo,71
decolonial,71
adotado,71
museu,71
mecanica,71
revelou,71
colaborativo,71
podendo,71
discursivas,71
horizonte,71
semanais,70
centrais,70
destacamse,70
experimento,70
disponibilizacao,70
referida,70
economicas,70
minutos,70
explicar,70
espacial,70
destacam,70
estudado,70
relacionamento,70
determinado,70
computacional,70
exigencias,70
compartilhar,70
variavel,70
saudavel,70
norteadores,70
comparar,70
aprovacao,70
significativamente,70
brincadeiras,70
qualificar,69
corpos,69
imigrantes,69
artistica,69
atitude,69
escritas,69
anterior,69
percebemos,69
emergiram,69
possibilitem,69
tratam,69
perfis,69
ingressantes,69
elaboradas,69
situada,69
ligados,69
joinville,69
profundidade,69
baseados,69
aumentada,69
apontar,69
forte,69
interdisciplinares,69
passo,69
ndi,69
delineamento,69
coletadas,69
consideramos,69
revelaram,69
partida,69
formado,69
monitoramento,68
seguir,68
esforco,68
agora,68
inovadoras,68
excelencia,68
observadas,68
disponivel,68
notas,68
ver,68
computacionais,68
centros,68
intercambio,68
abertos,68
implica,68
caracterizada,68
determinada,68
documentais,68
traducoes,68
teoricometodologica,68
vale,68
matematico,68
capacidades,68
mostrando,68
objetivou,68
seres,68
informatica,67
teoricometodologicas,67
concluir,67
audio,67
ilha,67
librasportugues,67
concordancia,67
atuando,67
orientada,67
oriundos,67
oferecidas,67
esperamos,67
constituida,67
levantar,67
quase,67
estrategica,67
quilombolas,67
timorleste,66
associado,66
permitir,66
consumo,66
caracteristica,66
deficiencias,66
materna,66
conexoes,66
violencias,66
evidenciam,66
tics,66
racionalidade,66
rodas,66
piloto,66
caracterizam,66
periodos,66
deslocamento,66
recente,66
polo,66
brincar,66
bairro,66
operacoes,66
abordam,66
probabilidade,66
melhora,66
infancias,66
voluntarios,66
apreender,66
governanca,66
atlas,66
definido,66
socialmente,66
criados,65
migrantes,65
olimpiada,65
localizada,65
realidades,65
regulares,65
determinados,65
pnld,65
oportunizar,65
sites,65
economicos,65
apresentamos,65
funcional,65
escrever,65
denominada,65
relacionam,65
lugares,65
adotadas,65
textuais,65
dispositivo,65
manifestacoes,65
mec,65
meta,65
cenarios,65
contribuiu,65
particularidades,65
exemplos,65
emancipacao,65
erros,65
verbos,64
vinte,64
industria,64
algo,64
idosos,64
compreendendo,64
otimizacao,64
possibilitam,64
administrativos,64
inserida,64
bom,64
etaria,64
reduzir,64
adquiridos,64
juventude,64
graficos,64
destacar,64
efetivamente,64
nestes,64
residentes,64
elaborada,64
disponibilizar,64
tomando,64
estruturada,64
compreendido,64
ajudar,63
leva,63
consonancia,63
significativos,63
literarios,63
minimo,63
orientadores,63
conversa,63
optouse,63
ofertados,63
capitulos,63
